:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Wed Oct 14 21:52:06 MDT 2015
This is week number 6
Working with 24 remaining teams.  620,448,401,733,239,439,360,000 permutations.
0.0000000000% Iteration: 67,000,000. Elapsed: 6 minutes, 1.175 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 68,000,000. Elapsed: 6 minutes, 6.506 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 69,000,000. Elapsed: 6 minutes, 12.423 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 70,000,000. Elapsed: 6 minutes, 17.702 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 71,000,000. Elapsed: 6 minutes, 22.876 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 72,000,000. Elapsed: 6 minutes, 28.203 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 73,000,000. Elapsed: 6 minutes, 33.339 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 74,000,000. Elapsed: 6 minutes, 38.995 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 75,000,000. Elapsed: 6 minutes, 44.757 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 76,000,000. Elapsed: 6 minutes, 50.784 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
0.0000000000% Iteration: 77,000,000. Elapsed: 6 minutes, 56.766 seconds Best pick: nfl.Pick(iteration:18803027, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, DET, GB, HOU, IND, PHI, MIA, TEN, NYJ, STL, MIN, WAS, OAK, SF, JAX, PIT], total:-39.5)
