:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Nov 12 01:00:13 MST 2015
This is week number 10
Working with 16 remaining teams.  20,922,789,888,000 permutations.
0.0003250045% Iteration: 68,000,000. Elapsed: 3 minutes, 49.115 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003297839% Iteration: 69,000,000. Elapsed: 3 minutes, 52.790 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003345634% Iteration: 70,000,000. Elapsed: 3 minutes, 56.291 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003393429% Iteration: 71,000,000. Elapsed: 3 minutes, 59.837 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003441224% Iteration: 72,000,000. Elapsed: 4 minutes, 3.584 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003489018% Iteration: 73,000,000. Elapsed: 4 minutes, 7.407 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003536813% Iteration: 74,000,000. Elapsed: 4 minutes, 10.939 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003584608% Iteration: 75,000,000. Elapsed: 4 minutes, 14.438 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003632403% Iteration: 76,000,000. Elapsed: 4 minutes, 18.173 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0003680197% Iteration: 77,000,000. Elapsed: 4 minutes, 21.899 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
