:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Nov 05 13:29:27 MST 2015
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000009528% Iteration: 61,000,000. Elapsed: 4 minutes, 38.183 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009684% Iteration: 62,000,000. Elapsed: 4 minutes, 42.567 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009840% Iteration: 63,000,000. Elapsed: 4 minutes, 46.962 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000009996% Iteration: 64,000,000. Elapsed: 4 minutes, 51.398 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010152% Iteration: 65,000,000. Elapsed: 4 minutes, 55.843 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010309% Iteration: 66,000,000. Elapsed: 5 minutes, 0.524 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010465% Iteration: 67,000,000. Elapsed: 5 minutes, 5.225 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010621% Iteration: 68,000,000. Elapsed: 5 minutes, 9.720 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010777% Iteration: 69,000,000. Elapsed: 5 minutes, 14.273 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000010933% Iteration: 70,000,000. Elapsed: 5 minutes, 18.867 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000011090% Iteration: 71,000,000. Elapsed: 5 minutes, 23.353 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000011246% Iteration: 72,000,000. Elapsed: 5 minutes, 27.921 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000011402% Iteration: 73,000,000. Elapsed: 5 minutes, 32.339 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
