:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 25 00:41:58 MST 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
22.3381290436% Iteration: 107,000,000. Elapsed: 4 minutes, 26.040 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
22.5468978882% Iteration: 108,000,000. Elapsed: 4 minutes, 28.507 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
22.7556648254% Iteration: 109,000,000. Elapsed: 4 minutes, 30.978 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
22.9644336700% Iteration: 110,000,000. Elapsed: 4 minutes, 33.431 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
23.1731987000% Iteration: 111,000,000. Elapsed: 4 minutes, 35.919 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
23.3819675446% Iteration: 112,000,000. Elapsed: 4 minutes, 38.397 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
23.5907363892% Iteration: 113,000,000. Elapsed: 4 minutes, 40.973 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
23.7995033264% Iteration: 114,000,000. Elapsed: 4 minutes, 43.467 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
24.0082702637% Iteration: 115,000,000. Elapsed: 4 minutes, 45.949 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
24.2170372009% Iteration: 116,000,000. Elapsed: 4 minutes, 48.410 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
