:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 30 00:55:52 MDT 2014
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000012027% Iteration: 77,000,000. Elapsed: 6 minutes, 32.052 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012183% Iteration: 78,000,000. Elapsed: 6 minutes, 37.208 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012339% Iteration: 79,000,000. Elapsed: 6 minutes, 42.338 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012495% Iteration: 80,000,000. Elapsed: 6 minutes, 47.399 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012652% Iteration: 81,000,000. Elapsed: 6 minutes, 52.485 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012808% Iteration: 82,000,000. Elapsed: 6 minutes, 57.813 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000012964% Iteration: 83,000,000. Elapsed: 7 minutes, 3.079 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013120% Iteration: 84,000,000. Elapsed: 7 minutes, 8.225 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013276% Iteration: 85,000,000. Elapsed: 7 minutes, 13.312 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013433% Iteration: 86,000,000. Elapsed: 7 minutes, 18.337 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013589% Iteration: 87,000,000. Elapsed: 7 minutes, 23.462 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013745% Iteration: 88,000,000. Elapsed: 7 minutes, 28.616 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000013901% Iteration: 89,000,000. Elapsed: 7 minutes, 33.708 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000014057% Iteration: 90,000,000. Elapsed: 7 minutes, 38.782 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000014213% Iteration: 91,000,000. Elapsed: 7 minutes, 43.881 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000014370% Iteration: 92,000,000. Elapsed: 7 minutes, 48.951 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000014526% Iteration: 93,000,000. Elapsed: 7 minutes, 54.032 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
